Sr. No.,Model,Year,Current year,Selling Price,Age of Vehicle,Car Condition,Kilometers Driven, Current Price ,Owner,Fuel Type,Transmission,Insurance,Current Price (Unformatted),Price Formatting
1849,HyundaiCreta1.6SXPLUS,2015,2021,860499,6,4.4,58585,1350245,First Owner,Petrol,Manual,19-10-2021,"13,50,245",1350245
1850,HyundaiEonERAPLUS,2017,2021,323399,4,4.5,19140,385000,First Owner,Petrol,Manual,25-08-2021,Rs.3.85 Lakh,3.85
1851,ToyotaEtios,2013,2021,332899,8,4.2,13134,785000,First Owner,Petrol,Manual,11/9/2021,Rs.7.85 Lakh,7.85
1852,HyundaiElitei20ASTA1.2,2018,2021,615399,3,4.9,16509,900000,First Owner,Petrol,Manual,11/11/2021,Rs.9 Lakh,9
1853,MarutiVitaraBrezzaZDIPLUSDUAL,2018,2021,931166,3,4.9,19465,1198000,First Owner,Diesel,Manual,21-08-2021,Rs.11.98 Lakh,11.98
1854,HondaCitySMT,2011,2021,312399,10,4.2,102393,1099000,First Owner,Petrol,Manual,Expired,Rs.10.99 Lakh,10.99
1855,MarutiRitzVXIBS,2011,2021,292699,10,4.2,100986,513902,Second Owner,Petrol,Manual,1/12/2021,"Rs.5,13,902",513902
1856,MarutiSwiftDzireVDIBS,2013,2021,453199,8,4.7,13830,561000,First Owner,Diesel,Manual,Insurance Expired,Rs.5.61 Lakh,5.61
1857,HondaCityZX,2008,2021,150099,13,4.1,123714,1475000,Second Owner,Petrol,Manual,25-02-2021,Rs.14.75 Lakh,14.75
1858,MarutiEeco5STRCNGWITHAC,2018,2021,322599,3,4.7,26407,518000,First Owner,Petrol + CNG,Manual,Expired,Rs.5.18 Lakh,5.18
1859,MahindraXUV500W8,2015,2021,552999,6,4.2,120123,1550000,First Owner,Diesel,Manual,Zero_Dep,Rs.15.50 Lakh,15.5
1860,HyundaiElitei20SPORTZ(O),2015,2021,579299,6,4.4,33312,722000,First Owner,Petrol,Manual,17-02-2021,Rs.7.22 Lakh,7.22
1861,MarutiAlto800,2018,2021,289599,3,4.8,24738,448000,First Owner,Petrol,Manual,3/8/2021,Rs.4.48 Lakh,4.48
1862,ToyotaCorollaAltis1.8,2010,2021,299999,11,4.2,52624,1704000,Second Owner,Petrol,Manual,Third_party,Rs.17.04 Lakh,17.04
1863,HyundaiGrandi10ASTA1.2KAPPA,2016,2021,460199,5,4.1,50163,552000,First Owner,Petrol,Manual,20-04-2021,Rs.5.52 Lakh,5.52
1864,HondaBrio1.2SMTI,2012,2021,279299,9,4.3,65954,523000,First Owner,Petrol,Manual,16-09-2021,Rs.5.23 Lakh,5.23
1865,MarutiWagonR1.0,2010,2021,305198,11,4,60114,498000,Second Owner,Petrol,Manual,17-03-2021,Rs.4.98 Lakh,4.98
1866,HondaAccord2.4ATI,2008,2021,255099,13,4.2,65929,4321000,First Owner,Petrol,Automatic,20-05-2021,Rs.43.21 Lakh,43.21
1867,MarutiVitaraBrezza,2018,2021,758699,3,4.8,23892,940000,First Owner,Diesel,Manual,21-11-2021,Rs.9.40 Lakh,9.4
1868,MarutiAltoK10VXI,2016,2021,338799,5,4.3,60866,394000,First Owner,Petrol,Automatic,,Rs.3.94 Lakh,3.94
1869,MarutiRitzVXIBS,2014,2021,397033,7,4.1,54073,513902,Second Owner,Petrol,Manual,29-05-2021,"Rs.5,13,902",513902
1870,HyundaiSantroXing,2011,2021,174899,10,4.4,58310,400374,First Owner,Petrol,Manual,2/7/2021,"Rs.4,00,374",400374
1871,MarutiAlto800,2015,2021,268887,6,4.3,52018,448000,First Owner,Petrol,Manual,Expired,Rs.4.48 Lakh,4.48
1872,HondaCity1.5EMT,2009,2021,248699,12,4.1,60632,1300000,First Owner,Petrol,Manual,,Rs.13 Lakh,13
1873,MarutiErtiga,2012,2021,565999,9,4,93867,769000,Second Owner,Diesel,Manual,25-09-2021,Rs.7.69 Lakh,7.69
1874,MarutiAltoK10,2017,2021,338199,4,4.8,21618,400000,First Owner,Petrol,Manual,3/3/2021,Rs.4 Lakh,4
1875,MarutiAltoK10,2012,2021,188899,9,4.4,73444,400000,First Owner,Petrol,Manual,16-01-2021,Rs.4 Lakh,4
1876,MarutiCelerioZXI,2014,2021,307830,7,4.6,33933,558000,Second Owner,Petrol,Manual,Insurance Expired,Rs.5.58 Lakh,5.58
1877,MarutiSwift,2013,2021,313799,8,4.3,142412,549000,First Owner,Petrol + CNG,Manual,4/10/2021,Rs.5.49 Lakh,5.49
1878,HondaJazz1.2BASEI,2012,2021,301505,9,3.9,100385,855000,First Owner,Petrol,Manual,27-06-2021,"Rs.8,55,000",855000
1879,TataIndicaVistaVX,2012,2021,335299,9,3.9,59345,598000,First Owner,Diesel,Manual,12/4/2021,Rs.5.98 Lakh,5.98
1880,ToyotaInnovaCrysta2.4VX8,2016,2021,1485599,5,4.5,119373,1999000,First Owner,Diesel,Manual,9/9/2021,0,0
1881,HondaCitySMT,2010,2021,249299,11,4.1,103378,1099000,Second Owner,Petrol + CNG,Manual,Expired,Rs.10.99 Lakh,10.99
1882,DatsunGo,2015,2021,316399,6,4.1,42905,403000,First Owner,Petrol,Manual,8/11/2021,Rs.4.03 Lakh,4.03
1883,HondaCitySMT,2011,2021,339899,10,4.2,73933,1099000,Third Owner,Petrol + CNG,Manual,24-06-2021,Rs.10.99 Lakh,10.99
1884,ToyotaInnova2.5VX7STRBS,2012,2021,601799,9,4.4,134217,1250000,First Owner,Diesel,Manual,27-08-2021,Rs.12.50 Lakh,12.5
1885,MarutiVitaraBrezzaZDI,2017,2021,839199,4,4.7,39663,892242,First Owner,Diesel,Manual,8/3/2021,"Rs.8,92,242",892242
1886,HyundaiSantroXing,2008,2021,178699,13,4,84985,400374,First Owner,Petrol + LPG,Manual,28-10-2021,"Rs.4,00,374",400374
1887,HyundaiElitei20MAGNA1.4,2015,2021,625199,6,4.8,52659,768000,Second Owner,Diesel,Manual,27-12-2020,Rs.7.68 Lakh,7.68
1888,MarutiAlto800,2013,2021,258937,8,4.4,29390,448000,Second Owner,Petrol,Manual,22-02-2021,Rs.4.48 Lakh,4.48
1889,RenaultDusterRXLDIESEL,2013,2021,348599,8,4.2,77490,1082000,Second Owner,Diesel,Manual,2/4/2021,Rs.10.82 Lakh,10.82
1890,MarutiAltoK10,2014,2021,320099,7,4.4,39854,400000,Second Owner,Petrol,Manual,9/2/2021,Rs.4 Lakh,4
1891,HyundaiXcentSX1.1,2015,2021,331500,6,4.5,89930,753000,First Owner,Diesel,Manual,Expired,Rs.7.53 Lakh,7.53
1892,MarutiCelerio,2015,2021,292199,6,3.9,68547,453000,First Owner,Petrol + CNG,Manual,5/8/2021,Rs.4.53 Lakh,4.53
1893,MarutiAltoK10,2015,2021,317699,6,4.6,15003,400000,First Owner,Petrol,Manual,3/6/2021,Rs.4 Lakh,4
1894,MarutiSwift,2015,2021,431499,6,4.5,8889,549000,First Owner,Petrol,Manual,26-02-2021,Rs.5.49 Lakh,5.49
1895,MarutiAlto800,2012,2021,225199,9,4.3,68344,448000,First Owner,Petrol,Manual,3/11/2021,Rs.4.48 Lakh,4.48
1896,MarutiSwift,2017,2021,452799,4,4.6,35855,549000,Second Owner,Petrol,Manual,22-07-2021,Rs.5.49 Lakh,5.49
1897,MarutiCiazVDI+,2016,2021,534199,5,4.7,77225,990000,First Owner,Diesel,Manual,10/6/2021,Rs.9.90 Lakh,9.9
1898,MarutiVitaraBrezzaZDI,2016,2021,738399,5,4.5,100205,892242,First Owner,Diesel,Manual,6/10/2021,"Rs.8,92,242",892242
1899,MarutiSwiftDzireVDIBS,2015,2021,578899,6,3.7,97036,561000,First Owner,Diesel,Manual,Expired,Rs.5.61 Lakh,5.61
1900,MarutiCelerioVXI,2017,2021,424099,4,4.7,31307,492000,First Owner,Petrol,Manual,2/9/2021,Rs.4.92 Lakh,4.92
1901,Hyundaii10SPORTZ,2008,2021,168899,13,4.4,32009,487925,Second Owner,Petrol + LPG,Manual,Expired,"Rs.4,87,925",487925
1902,VolkswagenPoloTRENDLINE1.2L,2011,2021,327099,10,4,92305,552000,First Owner,Diesel,Manual,12/8/2021,Rs.5.52 Lakh,5.52
1903,HondaBrio1.2SMTI,2013,2021,347699,8,4.2,30713,523000,First Owner,Petrol,Manual,19-07-2021,Rs.5.23 Lakh,5.23
1904,HondaJazz1.2V,2016,2021,544599,5,4.5,56894,735000,First Owner,Petrol,Automatic,12/4/2021,"Rs.7,35,000",735000
1905,HyundaiCreta1.6SX,2016,2021,914699,5,4.3,144712,1350000,First Owner,Diesel,Manual,Zero_Dep,Rs.13.50 Lakh,13.5
1906,MarutiSwiftDzireVXI1.2BS,2014,2021,535199,7,4.6,37541,657000,First Owner,Petrol,Manual,4/2/2021,Rs.6.57 Lakh,6.57
1907,MarutiAlto,2010,2021,165199,11,4,111848,375000,Second Owner,Petrol + CNG,Manual,13-06-2021,Rs.3.75 Lakh,3.75
1908,MarutiSwift,2012,2021,421699,9,4.3,62206,549000,First Owner,Diesel,Manual,Comp,Rs.5.49 Lakh,5.49
1909,ToyotaInnova2.5VX7STRBS,2014,2021,789899,7,4.5,122507,1250000,First Owner,Diesel,Manual,19-07-2021,Rs.12.50 Lakh,12.5
1910,MarutiWagonR1.0LXI,2011,2021,223499,10,4.3,112297,465000,First Owner,Petrol + CNG,Manual,20-12-2021,Rs.4.65 Lakh,4.65
1911,MarutiAltoK10K10VXI,2016,2021,412599,5,4.7,8265,418000,First Owner,Petrol,Automatic,Zero_Dep,4.18 Lakh,4.18
1912,MarutiSwiftDzireZXI,2008,2021,133599,13,4,133226,800500,Second Owner,Petrol + CNG,Manual,12/9/2021,"Rs.8,00,500",800500
1913,MarutiSwift,2014,2021,404699,7,4.1,41140,549000,First Owner,Petrol,Manual,7/12/2021,Rs.5.49 Lakh,5.49
1914,MarutiWagonR1.0,2013,2021,308899,8,4.3,23358,498000,First Owner,Petrol,Manual,12/3/2021,Rs.4.98 Lakh,4.98
1915,ToyotaCorollaAltisD4D,2014,2021,965599,7,4.8,17758,3375000,First Owner,Diesel,Manual,Expired,Rs.33.75 Lakh,33.75
1916,MarutiWagonR1.0LXI,2012,2021,228399,9,4.3,61323,465000,Second Owner,Petrol + CNG,Manual,27-08-2021,Rs.4.65 Lakh,4.65
1917,ToyotaEtiosLivaD4D,2012,2021,316699,9,4.3,197019,650000,First Owner,Diesel,Manual,10/7/2021,Rs.6.50 Lakh,6.5
1918,MarutiWagonR1.0LXI,2018,2021,399495,3,4.6,22982,465000,First Owner,Petrol + CNG,Manual,4/11/2021,Rs.4.65 Lakh,4.65
1919,HyundaiVernaFLUIDIC1.6SXCRDI,2012,2021,421699,9,4.5,84530,1173000,First Owner,Diesel,Manual,17-04-2021,Rs.11.73 Lakh,11.73
1920,HyundaiEonERA,2015,2021,303399,6,4.2,20310,332000,First Owner,Petrol,Manual,20-10-2021,Rs.3.32 Lakh,3.32
1921,MarutiAlto800,2014,2021,222899,7,4,68939,448000,Second Owner,Petrol,Manual,30-07-2021,Rs.4.48 Lakh,4.48
1922,MarutiSwift,2011,2021,306352,10,4.3,50484,549000,First Owner,Petrol,Manual,27-06-2021,Rs.5.49 Lakh,5.49
1923,HyundaiVernaFLUIDIC1.6EX,2013,2021,423899,8,4.4,25443,999000,First Owner,Petrol,Manual,9/1/2021,Rs.9.99 Lakh,9.99
1924,MarutiAltoK10VXI(O),2018,2021,379299,3,4.9,4397,394036,First Owner,Petrol,Automatic,Zero_Dep,"Rs.3,94,036",394036
1925,HondaCitySMT,2008,2021,267099,13,4.1,32298,1099000,First Owner,Petrol,Manual,18-01-2021,Rs.10.99 Lakh,10.99
1926,HyundaiCreta1.6SXPLUSAUTO,2018,2021,1215699,3,4.9,16189,1382000,First Owner,Petrol,Automatic,16-05-2021,Rs.13.82 Lakh,13.82
1927,TataTiagoXZ1.2,2018,2021,516399,3,4.9,14882,653000,First Owner,Petrol,Manual,28-08-2021,Rs.6.53 Lakh,6.53
1928,MarutiRitzVXIBS,2012,2021,305225,9,4.3,44714,513902,First Owner,Petrol,Manual,10/11/2021,"Rs.5,13,902",513902
1929,MarutiVitaraBrezza,2016,2021,668499,5,4.4,83813,940000,First Owner,Diesel,Manual,2/5/2021,Rs.9.40 Lakh,9.4
1930,Hyundaii10SPORTZ1.2,2011,2021,244399,10,3.9,71697,599000,Second Owner,Petrol,Manual,Expired,Rs.5.99 Lakh,5.99
1931,Hyundaii10SPORTZ1.2,2012,2021,200299,9,4.3,95298,599000,First Owner,Petrol,Manual,24-11-2020,Rs.5.99 Lakh,5.99
1932,ToyotaEtios,2012,2021,294840,9,4.1,156503,785000,Second Owner,Diesel,Manual,3/7/2021,Rs.7.85 Lakh,7.85
1933,MarutiSwiftDzireVXI1.2BS,2015,2021,478399,6,4.5,66584,657000,First Owner,Petrol,Manual,17-11-2020,Rs.6.57 Lakh,6.57
1934,HyundaiVernaFLUIDIC1.6SXVTVTOPT,2013,2021,444499,8,4.3,71879,624000,Second Owner,Petrol,Automatic,1/9/2021,Rs.6.24 Lakh,6.24
1935,VolkswagenPoloHIGHLINE1.2L,2013,2021,376214,8,4.2,38905,709000,First Owner,Petrol,Manual,15-06-2021,Rs.7.09 Lakh,7.09
1936,Hyundaii20MAGNAO,2013,2021,376799,8,4.2,29122,679000,First Owner,Petrol,Manual,7/1/2021,Rs.6.79 Lakh,6.79
1937,MarutiAltoK10,2017,2021,349199,4,4.9,5064,400000,First Owner,Petrol,Manual,3/4/2021,Rs.4 Lakh,4
1938,MarutiSwift,2013,2021,293619,8,4.1,72692,549000,Second Owner,Petrol,Manual,9/9/2021,Rs.5.49 Lakh,5.49
1939,MarutiCelerio,2014,2021,336099,7,4.1,23737,453000,Second Owner,Petrol,Manual,13-09-2021,Rs.4.53 Lakh,4.53
1940,DatsunRediGoT,2016,2021,195399,5,4.5,37538,386000,First Owner,Petrol,Manual,27-10-2021,Rs.3.86 Lakh,3.86
1941,MarutiSwiftVXI,2016,2021,565599,5,4.4,36385,619000,First Owner,Petrol,Manual,12/9/2021,Rs.6.19 Lakh,6.19
1942,HondaCitySMT,2009,2021,232799,12,3.8,134918,1099000,First Owner,Petrol,Manual,7/10/2021,Rs.10.99 Lakh,10.99
1943,ToyotaCorollaAltisVL,2008,2021,210899,13,4.2,150651,1750000,Second Owner,Petrol + CNG,Automatic,Expired,Rs.17.50 Lakh,17.5
1944,MarutiRitz,2010,2021,335999,11,4.1,67560,545000,Second Owner,Petrol,Manual,Expired,Rs.5.45 Lakh,5.45
