Sr. No.,Model,Year,Current year,Selling Price,Age of Vehicle,Car Condition,Kilometers Driven, Current Price ,Owner,Fuel Type,Transmission,Insurance,Current Price (Unformatted),Price Formatting
1,MarutiWagonR1.0LXI,2014,2021,312165,7,4.2,82238,465000,First Owner,Petrol + CNG,Manual,Expired,Rs.4.65 Lakh,4.65
2,ToyotaEtiosLiva,2013,2021,313799,8,4.4,30558,568000,First Owner,Petrol,Manual,12/9/2021,Rs.5.68 Lakh,5.68
3,MarutiAlto800,2018,2021,295999,3,4.8,22164,448000,First Owner,Petrol,Manual,1/12/2020,Rs.4.48 Lakh,4.48
4,MarutiSwift,2013,2021,435199,8,4.3,30535,549000,First Owner,Diesel,Manual,Comp,Rs.5.49 Lakh,5.49
5,MarutiWagonR1.0,2013,2021,289099,8,4.3,15738,498000,First Owner,Petrol,Manual,11/8/2021,Rs.4.98 Lakh,4.98
6,HyundaiElitei20ASTA1.2,2018,2021,708199,3,4.7,32652,900000,First Owner,Petrol,Manual,Comp,Rs.9 Lakh,9
7,HyundaiGrandi10SPORTZ1.2KAPPA,2013,2021,410788,8,4.4,32496,591699,First Owner,Petrol,Manual,Expired,"Rs.591,699","591,699"
8,HyundaiElitei20ASTA,2015,2021,606599,6,4.6,27487,907235,First Owner,Petrol,Manual,22-03-2021,"9,07,235",907235
9,MarutiCelerio,2018,2021,459199,3,4.4,41383,453000,First Owner,Petrol,Manual,6/3/2021,Rs.4.53 Lakh,4.53
10,MarutiWagonR1.0,2012,2021,265899,9,4.3,65476,498000,First Owner,Petrol + CNG,Manual,23-10-2021,Rs.4.98 Lakh,4.98
11,MarutiSwiftDzireVXI1.2BS,2013,2021,426999,8,4.4,27992,657000,First Owner,Petrol,Manual,26-05-2021,Rs.6.57 Lakh,6.57
12,MarutiDzire,2018,2021,671499,3,4.8,14061,750000,First Owner,Petrol,Manual,11/7/2021,Rs.7.50 Lakh,7.5
13,HondaCivic1.8S,2007,2021,146870,14,4,52138,1550000,Third Owner,Petrol,Manual,Expired,Rs.15.50 Lakh,15.5
14,MarutiAltoK10VXI,2014,2021,290099,7,3.9,46410,394000,Second Owner,Petrol,Automatic,,Rs.3.94 Lakh,3.94
15,MarutiAlto800LXI,2016,2021,285399,5,4.2,47168,363000,First Owner,Petrol + CNG,Manual,17-03-2021,Rs.3.63 Lakh,3.63
16,HyundaiVernaFLUIDIC1.6EX,2013,2021,529699,8,4.2,72813,999000,First Owner,Petrol + CNG,Manual,9/1/2022,Rs.9.99 Lakh,9.99
17,ToyotaEtiosCROSS1.4,2015,2021,424399,6,4.3,79123,756000,First Owner,Diesel,Manual,7/7/2021,Rs.7.56 Lakh,7.56
18,HondaCitySVCVT,2016,2021,615799,5,4.4,72097,1294000,First Owner,Petrol,Automatic,2/2/2021,Rs.12.94 Lakh,12.94
19,VolkswagenVentoHIGHLINE,2014,2021,413999,7,4.3,151201,1209000,First Owner,Diesel,Manual,10/8/2021,12.09 Lakh,12.09
20,Hyundaii20MAGNAO,2012,2021,328199,9,4.3,73356,679000,First Owner,Petrol,Manual,29-07-2021,Rs.6.79 Lakh,6.79
21,VolkswagenPoloGT,2018,2021,948899,3,4.9,14516,992000,First Owner,Petrol,Manual,7/10/2021,Rs.9.92 Lakh,9.92
22,MahindraTUV300,2016,2021,656399,5,4.5,34658,1080000,First Owner,Diesel,Manual,2/7/2021,Rs.10.80 Lakh,10.8
23,HondaAmaze1.5VCVT,2018,2021,698899,3,4.5,53486,1013000,First Owner,Diesel,Automatic,Third_party,Rs.10.13 Lakh,10.13
24,TataNanoXT,2014,2021,100599,7,4.3,35905,292667,First Owner,Petrol,Manual,24-11-2021,"Rs.2,92,667","292,667"
25,RenaultKwid,2016,2021,250399,5,4.2,39278,312000,Second Owner,Petrol,Manual,21-11-2021,Rs.3.12 Lakh,3.12
26,MarutiAltoK10,2017,2021,309999,4,4.7,36245,400000,First Owner,Petrol,Manual,23-09-2021,Rs.4 Lakh,4
27,HyundaiElitei20SPORTZ,2015,2021,518099,6,4.4,61923,722000,First Owner,Petrol,Manual,Expired,Rs.7.22 Lakh,7.22
28,MarutiZenEstilo,2010,2021,211799,11,4.2,39612,395000,Third Owner,Petrol,Manual,13-06-2021,Rs.3.95 Lakh,3.95
29,MarutiCelerioZXI,2015,2021,332627,6,4.3,58558,558000,First Owner,Petrol,Automatic,9/11/2021,Rs.5.58 Lakh,5.58
30,MarutiSwiftDzireVDIBS,2013,2021,477214,8,4.4,72553,561000,First Owner,Diesel,Manual,Expired,Rs.5.61 Lakh,5.61
31,MarutiBalenoALPHA1.2,2018,2021,669899,3,4.9,13931,910000,First Owner,Petrol,Manual,8/4/2021,Rs.9.1 Lakh,9.1
32,MarutiSwiftVDI,2016,2021,447799,5,4.7,48780,698000,Second Owner,Diesel,Manual,4/4/2021,Rs.6.98 Lakh,6.98
33,TataTiagoXT1.2,2016,2021,318699,5,4.3,86339,606000,First Owner,Petrol,Manual,Expired,Rs.6.06 Lakh,6.06
34,MahindraBoleroPower+,2018,2021,840899,3,4.7,25376,833000,First Owner,Diesel,Manual,16-10-2021,Rs.8.33 Lakh,8.33
35,HyundaiElitei20MAGNA1.4,2017,2021,667699,4,4.8,15683,768000,First Owner,Petrol,Automatic,3/4/2021,Rs.7.68 Lakh,7.68
36,MarutiSX4,2011,2021,210799,10,4.1,117838,825000,First Owner,Diesel,Manual,15-06-2021,Rs.8.25 Lakh,8.25
37,MarutiBalenoDELTA1.2K12,2017,2021,573999,4,4.8,28083,806000,First Owner,Petrol,Automatic,26-09-2021,Rs.8.06 Lakh,8.06
38,MarutiSwiftVXI,2010,2021,315099,11,4.1,45714,619000,Second Owner,Petrol,Manual,Expired,Rs.6.19 Lakh,6.19
39,HondaCityVMT,2011,2021,319399,10,4.4,50615,1110000,First Owner,Petrol,Manual,8/10/2021,Rs.11.10 Lakh,11.1
40,MahindraXUV500W8,2012,2021,441699,9,4.1,59608,1550000,First Owner,Diesel,Manual,30-04-2021,Rs.15.50 Lakh,15.5
41,HyundaiVENUE1.4CRDIMT,2019,2021,991699,2,4.9,2823,978000,First Owner,Diesel,Manual,Zero_Dep,Rs.9.78 Lakh,9.78
42,MarutiSwift,2012,2021,260699,9,4.2,141644,549000,First Owner,Petrol,Manual,28-07-2021,Rs.5.49 Lakh,5.49
43,ToyotaEtiosLiva,2013,2021,311899,8,4.4,105493,568000,Second Owner,Diesel,Manual,23-07-2021,Rs.5.68 Lakh,5.68
44,Hyundaii20MAGNAO1.4,2012,2021,363099,9,4.2,83767,666000,First Owner,Diesel,Manual,3/5/2021,Rs.6.66 Lakh,6.66
45,MarutiAltoK10VXI,2015,2021,375799,6,4.8,11362,394000,First Owner,Petrol,Automatic,Comp,Rs.3.94 Lakh,3.94
46,MarutiSwift,2012,2021,341399,9,4.8,61365,549000,Second Owner,Diesel,Manual,1/8/2021,Rs.5.49 Lakh,5.49
47,FordEcosport1.5TITANIUMTI,2014,2021,486599,7,4.3,87581,1120000,First Owner,Petrol,Manual,9/1/2022,Rs.11.20 Lakh,11.2
48,MarutiSwift,2012,2021,292399,9,4.2,96637,549000,Second Owner,Diesel,Manual,14-10-2021,Rs.5.49 Lakh,5.49
49,Hyundaii10SPORTZ1.2,2012,2021,227299,9,4.9,76177,599000,First Owner,Petrol,Manual,11/4/2021,Rs.5.99 Lakh,5.99
50,HondaBrio1.2VMTI,2013,2021,352699,8,4.2,33953,575000,Second Owner,Petrol,Manual,29-11-2021,Rs.5.75 Lakh,5.75
51,MarutiErtigaZXISMARTHYBRID,2019,2021,840799,2,4.9,17435,927000,First Owner,Petrol,Automatic,Third_party,Rs.9.27 Lakh,9.27
52,HondaCityVXMT,2014,2021,467199,7,4.2,89834,1235000,First Owner,Diesel,Manual,15-02-2021,Rs.12.35 Lakh,12.35
53,HondaCityVXMT,2014,2021,606099,7,4.6,83278,1235000,First Owner,Diesel,Manual,16-05-2021,Rs.12.35 Lakh,12.35
54,MarutiAlto800,2013,2021,180996,8,4.2,49275,448000,First Owner,Petrol,Manual,Expired,Rs.4.48 Lakh,4.48
55,MarutiAltoK10VXI,2016,2021,323699,5,4.5,19138,394000,First Owner,Petrol,Automatic,Comp,Rs.3.94 Lakh,3.94
56,HondaBrio1.2VMTI,2012,2021,219168,9,4.1,62852,575000,Second Owner,Petrol,Manual,7/5/2021,Rs.5.75 Lakh,5.75
57,MahindraScorpioS6,2016,2021,1045899,5,4.4,47310,1199000,First Owner,Diesel,Manual,8/6/2021,"Rs.1,199,000","1,199,000"
58,HyundaiVENUE1.0LTurboGDISX(O),2019,2021,977199,2,4.8,8701,1276000,First Owner,Petrol,Automatic,Zero_Dep,Rs.12.76 Lakh,12.76
59,MarutiAlto800,2019,2021,332699,2,4.8,8393,448000,First Owner,Petrol,Manual,17-04-2021,Rs.4.48 Lakh,4.48
60,HondaAccord2.4ATI,2010,2021,282699,11,4.2,188777,4321000,First Owner,Petrol,Automatic,11/9/2021,Rs.43.21 Lakh,43.21
61,ToyotaCorollaAltis,2014,2021,671199,7,4.3,52544,1775000,Second Owner,Petrol,Manual,7/8/2021,Rs.17.75 Lakh,17.75
62,VolkswagenPoloHIGHLINE1.2L,2014,2021,407999,7,4.2,33913,709000,First Owner,Petrol,Manual,26-07-2021,Rs.7.09 Lakh,7.09
63,MarutiRitz,2013,2021,240099,8,4.4,44432,545000,Second Owner,Diesel,Manual,4/1/2021,Rs.5.45 Lakh,5.45
64,MarutiAltoK10,2010,2021,142999,11,4.3,59096,400000,First Owner,Petrol,Manual,Comp,Rs.4 Lakh,4
65,HyundaiVernaFLUIDIC1.6SXVTVT,2011,2021,422699,10,4.2,82265,1200000,First Owner,Petrol,Manual,31-07-2021,Rs.12 Lakh,12
66,HyundaiGrandi10SPORTS1.2,2013,2021,418699,8,4.4,39422,638000,First Owner,Petrol,Manual,Expired,Rs.6.38 Lakh,6.38
67,MarutiWagonR1.0,2012,2021,345999,9,4.2,60412,498000,First Owner,Petrol,Manual,1/4/2021,Rs.4.98 Lakh,4.98
68,HondaCitySMT,2011,2021,313900,10,4.5,83050,1099000,First Owner,Petrol,Manual,28-09-2021,Rs.10.99 Lakh,10.99
69,HyundaiSantroXingGL,2013,2021,195800,8,4.3,111397,369000,First Owner,Petrol,Manual,Expired,Rs.3.69 Lakh,3.69
70,VolkswagenVentoHIGHLINE,2012,2021,301074,9,4.3,71219,1209000,First Owner,Diesel,Manual,24-07-2021,12.09 Lakh,12.09
71,MarutiAltoK10,2015,2021,264397,6,4.5,30539,400000,First Owner,Petrol,Manual,3/4/2021,Rs.4 Lakh,4
72,MarutiSwiftZDI,2018,2021,723699,3,4.8,35067,549000,First Owner,Diesel,Manual,27-08-2022,"Rs.5,49,000",549000
73,MarutiAltoK10,2012,2021,277499,9,4.2,64058,400000,First Owner,Petrol,Manual,26-09-2021,Rs.4 Lakh,4
74,MarutiErtiga,2012,2021,385699,9,4.4,54397,769000,First Owner,Diesel,Manual,Expired,Rs.7.69 Lakh,7.69
75,MarutiCelerioVXI,2015,2021,347799,6,4.5,95945,492000,First Owner,Petrol + CNG,Manual,1/8/2021,Rs.4.92 Lakh,4.92
76,MarutiAltoK10VXI(O),2018,2021,368481,3,4.9,2610,394036,Second Owner,Petrol,Automatic,Zero Depreciation,"Rs.3,94,036",394036
77,MarutiSwift,2012,2021,315999,9,4.5,164127,549000,First Owner,Diesel,Manual,14-01-2021,Rs.5.49 Lakh,5.49
78,Hyundaii10MAGNA,2008,2021,160099,13,4.4,68478,462100,First Owner,Petrol,Manual,20-01-2021,"Rs.4,62,100",462100
79,HyundaiElitei201.2MAGNAPLUS,2019,2021,693799,2,4.8,15086,900000,First Owner,Petrol,Manual,Comp,Rs.9 Lakh,9
80,HyundaiEonMAGNA,2013,2021,263199,8,4.1,41513,416000,First Owner,Petrol,Manual,18-08-2021,Rs.4.16 Lakh,4.16
81,MarutiAltoK10,2011,2021,270899,10,4.3,70973,400000,First Owner,Petrol,Manual,1/1/2021,Rs.4 Lakh,4
82,MarutiAltoK10,2018,2021,338699,3,4.8,27570,400000,First Owner,Petrol,Manual,29-07-2021,Rs.4 Lakh,4
83,HondaCityV,2012,2021,420999,9,4,42481,1099000,Second Owner,Petrol,Automatic,30-01-2021,Rs.10.99 Lakh,10.99
84,HondaCitySMT,2012,2021,410399,9,4.5,73247,1099000,Third Owner,Petrol,Manual,16-12-2021,Rs.10.99 Lakh,10.99
85,MarutiAlto,2020,2021,367599,1,4.9,3710,375000,First Owner,Petrol,Manual,10/6/2021,Rs.3.75 Lakh,3.75
86,VolkswagenVentoHIGHLINE,2011,2021,255099,10,4.1,84630,1209000,First Owner,Petrol,Manual,Expired,12.09 Lakh,12.09
87,MarutiBalenoDELTA1.2,2018,2021,681999,3,4.9,15615,590000,First Owner,Petrol,Manual,29-08-2021,"Rs.5,90,000",590000
88,MarutiSwiftDzireVXI1.2BS,2011,2021,313774,10,4.6,15248,657000,First Owner,Petrol,Manual,18-02-2021,Rs.6.57 Lakh,6.57
89,MarutiAltoK10,2012,2021,156499,9,4.2,45362,400000,Second Owner,Petrol,Manual,28-09-2021,Rs.4 Lakh,4
90,HyundaiVernaFLUIDIC1.6SXCRDI,2013,2021,521499,8,4.4,41856,1173000,First Owner,Diesel,Manual,22-08-2021,Rs.11.73 Lakh,11.73
91,MahindraScorpioS6,2016,2021,977099,5,4.7,43867,1199000,First Owner,Diesel,Manual,13-09-2021,"Rs.1,199,000","1,199,000"
92,Hyundaii20MAGNA1.2,2009,2021,181699,12,4,68656,900000,Third Owner,Petrol,Manual,Expired,Rs.9 Lakh,9
93,MarutiSwiftDzireLXI1.2BS,2013,2021,456299,8,4.2,173110,569000,First Owner,Petrol + CNG,Manual,Expired,Rs.5.69 Lakh,5.69
94,ToyotaEtios,2011,2021,235499,10,4.2,114409,785000,First Owner,Diesel,Manual,31-01-2021,Rs.7.85 Lakh,7.85
95,NissanMicraXVPREMIUM,2012,2021,348540,9,4,72949,766024,First Owner,Diesel,Manual,23-09-2021,"Rs.7,66,024",766024
96,MarutiZenEstilo,2010,2021,222252,11,4,43196,395000,Second Owner,Petrol,Manual,20-08-2021,Rs.3.95 Lakh,3.95
97,MarutiAltoK10,2014,2021,305199,7,4.4,50294,400000,First Owner,Petrol,Manual,4/10/2021,Rs.4 Lakh,4
98,HyundaiGrandi10SPORTZ(O)1.2AT,2017,2021,492599,4,4.5,85389,591699,First Owner,Petrol,Automatic,Comp,"Rs.591,699","591,699"
99,MarutiAlto,2009,2021,236300,12,4,102742,375000,First Owner,Petrol,Manual,10/12/2021,Rs.3.75 Lakh,3.75
100,VolkswagenPoloHIGHLINE1.2L,2014,2021,283399,7,4.4,114877,709000,First Owner,Diesel,Manual,28-06-2021,Rs.7.09 Lakh,7.09
101,MarutiWagonR1.0LXICNG,2017,2021,424099,4,4.5,20570,546000,Second Owner,Petrol + CNG,Manual,Expired,Rs.5.46 Lakh,5.46
102,MarutiVitaraBrezza,2019,2021,779699,2,4.8,37265,940000,First Owner,Diesel,Manual,31-01-2022,Rs.9.40 Lakh,9.4
103,MarutiVitaraBrezza,2019,2021,756299,2,4.3,39833,940000,First Owner,Diesel,Manual,12/9/2022,Rs.9.40 Lakh,9.4
104,HondaAmaze1.2SMTI,2013,2021,345499,8,4.3,58944,793000,Second Owner,Petrol,Manual,20-06-2021,Rs.7.93 Lakh,7.93
105,HyundaiVernaFLUIDIC1.6SX,2013,2021,354799,8,4.2,119265,1173000,First Owner,Petrol,Manual,8/5/2021,11.73 Lakh,11.73
106,HyundaiGrandi10ASTAAT1.2KAPPA,2016,2021,443499,5,4,90217,552005,First Owner,Petrol,Manual,8/10/2021,"Rs.5,52,005",552005
107,ToyotaInnova2.5GX8STRBS,2013,2021,787499,8,4.3,147140,1407000,First Owner,Diesel,Manual,28-11-2021,Rs.14.07 Lakh,14.07
108,HyundaiElitei20ASTA,2017,2021,595299,4,4.6,35045,907235,First Owner,Petrol,Manual,4/12/2021,"9,07,235",907235
109,HondaAmaze1.2SMTI,2014,2021,397299,7,4.5,38790,793000,First Owner,Petrol,Manual,23-11-2021,Rs.7.93 Lakh,7.93
110,MarutiAlto800,2018,2021,309399,3,4.9,8105,448000,First Owner,Petrol,Manual,29-10-2021,Rs.4.48 Lakh,4.48
111,Hyundaii20MAGNAO1.4,2013,2021,406788,8,4,78618,666000,First Owner,Diesel,Manual,15-09-2021,Rs.6.66 Lakh,6.66
112,HyundaiSantroXing,2008,2021,116766,13,4.3,63586,400374,First Owner,Petrol,Manual,23-01-2022,"Rs.4,00,374",400374
113,MarutiSwift,2013,2021,406799,8,4.3,34459,549000,First Owner,Petrol,Manual,2/9/2021,Rs.5.49 Lakh,5.49
114,MarutiBalenoDELTA1.2,2017,2021,551799,4,4.6,40382,590000,Second Owner,Petrol,Manual,27-03-2021,"Rs.5,90,000",590000
115,DatsunRediGo,2016,2021,184383,5,4.4,31153,286000,Second Owner,Petrol,Manual,25-08-2021,Rs.2.86 Lakh,2.86
116,HondaBrio1.2SMTI,2012,2021,306499,9,4.2,43469,523000,First Owner,Petrol,Manual,17-09-2021,Rs.5.23 Lakh,5.23
117,HondaCityVMT,2009,2021,227399,12,3.6,148906,1110000,Second Owner,Petrol,Manual,28-07-2021,Rs.11.10 Lakh,11.1
118,HondaCity1.5V,2019,2021,910099,2,4.8,12538,907000,First Owner,Petrol,Manual,13-06-2021,Rs.9.07 Lakh,9.07
119,MarutiSwift,2013,2021,428599,8,4.7,53390,549000,First Owner,Petrol,Manual,15-09-2021,Rs.5.49 Lakh,5.49
120,HyundaiGrandi10SPORTZ1.2KAPPA,2014,2021,410740,7,4.4,65299,591699,Second Owner,Petrol,Manual,2/7/2021,"Rs.591,699","591,699"
121,MarutiAlto800,2016,2021,225899,5,4.3,39630,448000,First Owner,Petrol,Manual,Expired,Rs.4.48 Lakh,4.48
122,MarutiSwiftDzireVXI1.2BS,2011,2021,335199,10,4.2,70252,657000,First Owner,Petrol,Manual,20-10-2021,Rs.6.57 Lakh,6.57
123,Hyundaii20MAGNAO,2011,2021,221899,10,4.1,55760,679000,First Owner,Petrol,Manual,15-02-2021,Rs.6.79 Lakh,6.79
124,RenaultLodgy110PSRXZ8,2015,2021,503799,6,4.3,34812,1159000,First Owner,Diesel,Manual,2/8/2021,Rs.11.59 Lakh,11.59
125,MarutiAlto,2007,2021,78799,14,4.2,57895,375000,Second Owner,Petrol + CNG,Manual,3/2/2021,Rs.3.75 Lakh,3.75
126,Hyundaii20MAGNAO,2010,2021,211699,11,4.3,84826,679000,First Owner,Petrol,Manual,Comp,Rs.6.79 Lakh,6.79
127,MarutiSwift,2012,2021,562599,9,4.7,31999,549000,First Owner,Petrol,Manual,Expired,Rs.5.49 Lakh,5.49
128,HyundaiGrandi10SPORTZ1.2KAPPA,2016,2021,451699,5,4.4,13349,591699,First Owner,Petrol,Manual,8/1/2021,"Rs.591,699","591,699"
129,ChevroletCruzeLTZ,2011,2021,325199,10,4.8,98989,1675000,First Owner,Diesel,Automatic,Expired,Rs.16.75 Lakh,16.75
130,RenaultKwid,2018,2021,321799,3,4.9,5160,312000,First Owner,Petrol,Manual,29-01-2022,Rs.3.12 Lakh,3.12
131,MarutiVitaraBrezzaZDI,2018,2021,951099,3,4.9,28572,892242,First Owner,Diesel,Manual,30-07-2021,"Rs.8,92,242",892242
132,HyundaiXcentS,2014,2021,336099,7,4.3,75891,581000,First Owner,Petrol,Manual,31-12-2020,Rs.5.81 Lakh,5.81
133,HondaCityV,2012,2021,391499,9,4.1,113241,1099000,First Owner,Petrol,Automatic,27-02-2021,Rs.10.99 Lakh,10.99
134,MarutiWagonR1.0,2018,2021,343899,3,4.7,17101,498000,First Owner,Petrol,Manual,Expired,Rs.4.98 Lakh,4.98
135,HyundaiVernaFLUIDIC1.6SX,2012,2021,322999,9,4.4,84048,1173000,First Owner,Diesel,Manual,19-07-2021,11.73 Lakh,11.73
136,FordEcosport1.5TITANIUM,2014,2021,439299,7,4.4,152554,999000,First Owner,Diesel,Manual,14-06-2021,Rs.9.99 Lakh,9.99
137,ToyotaEtiosLivaGD,2013,2021,393660,8,4.6,97467,650000,First Owner,Diesel,Manual,10/11/2021,Rs.6.50 Lakh,6.5
138,MarutiNewWagon-RLXI1.0,2019,2021,478399,2,4.7,13185,466000,First Owner,Petrol,Manual,Expired,Rs.4.66 Lakh,4.66
139,MarutiRitzVXIBS,2010,2021,196999,11,4.4,114109,513902,First Owner,Petrol,Manual,17-09-2021,"Rs.5,13,902",513902
140,MarutiSwiftVDI,2015,2021,566399,6,4.7,70952,698000,First Owner,Diesel,Manual,17-07-2021,Rs.6.98 Lakh,6.98
141,MarutiSwiftDzireVDIBS,2013,2021,335599,8,3.9,80394,561000,First Owner,Diesel,Manual,30-01-2021,Rs.5.61 Lakh,5.61
142,MarutiRitzVXI,2009,2021,208199,12,4.3,56276,489163,Second Owner,Petrol,Manual,25-01-2021,"Rs.4,89,163",489163
143,HyundaiElitei20MAGNA1.4,2015,2021,588399,6,4.9,110531,768000,First Owner,Diesel,Manual,10/6/2021,Rs.7.68 Lakh,7.68
144,HyundaiGrandi10ERA1.2,2014,2021,345799,7,4.6,23794,595000,Second Owner,Petrol,Manual,24-06-2021,Rs.5.95 Lakh,5.95
145,MarutiWagonR1.0LXI,2015,2021,242499,6,4.4,88514,465000,Second Owner,Petrol + CNG,Manual,26-07-2021,Rs.4.65 Lakh,4.65
146,HondaCitySMT,2009,2021,242299,12,4.1,76901,1099000,First Owner,Petrol,Manual,5/5/2021,Rs.10.99 Lakh,10.99
147,MarutiSwiftVXI,2008,2021,241699,13,4,103401,619000,Third Owner,Petrol,Manual,14-03-2021,Rs.6.19 Lakh,6.19
148,HyundaiSantroXingGL,2011,2021,288099,10,4.2,55945,369000,First Owner,Petrol,Manual,20-10-2021,Rs.3.69 Lakh,3.69
149,HyundaiGrandi10MAGNA1.2,2013,2021,303399,8,4.2,106064,606000,First Owner,Petrol,Manual,27-02-2021,6.06 Lakh,6.06
150,HyundaiElitei20SPORTZ,2016,2021,544699,5,4.9,35153,722000,First Owner,Petrol,Manual,12/10/2021,Rs.7.22 Lakh,7.22
151,MarutiSwiftDzireVXI1.2BS,2013,2021,354699,8,3.8,135829,657000,Second Owner,Petrol,Manual,Expired,Rs.6.57 Lakh,6.57
152,HyundaiElitei20SPORTZ,2016,2021,552899,5,4.7,58361,722000,Second Owner,Petrol + CNG,Manual,14-04-2021,Rs.7.22 Lakh,7.22
153,MarutiRitzVXIBS,2014,2021,294599,7,4.5,45465,513902,Second Owner,Petrol,Manual,6/7/2021,"Rs.5,13,902",513902
154,HyundaiVernaFLUIDIC1.6SX,2013,2021,415499,8,4.3,49718,1173000,First Owner,Diesel,Manual,30-01-2021,11.73 Lakh,11.73
155,MarutiEeco5STRWITHAC,2017,2021,389899,4,4.3,32883,438000,First Owner,Petrol,Manual,19-09-2021,Rs.4.38 Lakh,4.38
156,HyundaiSantroXingXOERLXEURO,2007,2021,215599,14,4.3,82791,400000,First Owner,Petrol,Manual,25-05-2021,"Rs.4,00,000",400000
157,Hyundaii20MAGNAO,2011,2021,235699,10,4.1,71611,679000,Second Owner,Petrol,Manual,31-07-2021,Rs.6.79 Lakh,6.79
158,MarutiCiazVDI,2014,2021,491399,7,4.3,103867,892031,First Owner,Diesel,Manual,5/1/2022,"Rs.8,92,031",892031
159,HyundaiElitei20SPORTZ,2016,2021,554899,5,4.5,109448,722000,First Owner,Diesel,Manual,25-10-2021,Rs.7.22 Lakh,7.22
160,MarutiSwiftDzire,2010,2021,281499,11,4.2,97436,561000,First Owner,Diesel,Manual,28-10-2021,Rs.5.61 Lakh,5.61
161,MarutiAStar,2010,2021,199899,11,4.2,68714,423000,Second Owner,Petrol,Manual,21-09-2021,Rs.4.23 Lakh,4.23
162,MahindraScorpio,2017,2021,1117599,4,4.3,72706,1198000,First Owner,Diesel,Manual,13-03-2021,Rs.11.98 Lakh,11.98
163,MarutiSwiftDzire,2008,2021,193499,13,4.5,89412,561000,Second Owner,Petrol,Manual,Expired,Rs.5.61 Lakh,5.61
164,ToyotaEtios,2011,2021,262499,10,4.2,170425,785000,First Owner,Petrol,Manual,10/4/2021,Rs.7.85 Lakh,7.85
165,RenaultDusterRXZ85PS,2017,2021,867399,4,4.4,32783,1124000,First Owner,Diesel,Manual,23-02-2021,Rs.11.24 Lakh,11.24
166,MarutiVitaraBrezza,2019,2021,935399,2,4.9,4566,940000,First Owner,Diesel,Manual,6/1/2023,Rs.9.40 Lakh,9.4
167,MarutiDzireVDI,2018,2021,653399,3,4.9,13492,757622,First Owner,Diesel,Automatic,11/11/2021,"Rs.7,57,622",757622
168,MarutiCelerioVXI,2018,2021,475299,3,4.5,20324,492000,First Owner,Petrol + CNG,Manual,Expired,Rs.4.92 Lakh,4.92
169,MarutiErtiga,2014,2021,479999,7,4.1,62769,769000,First Owner,Petrol,Manual,1/6/2021,Rs.7.69 Lakh,7.69
170,HondaBrio1.2SMTI,2015,2021,338799,6,4.5,29104,523000,First Owner,Petrol,Manual,30-06-2021,Rs.5.23 Lakh,5.23
171,MarutiSwiftDzireVDIBS,2012,2021,333099,9,4.2,95472,561000,First Owner,Diesel,Manual,22-11-2021,Rs.5.61 Lakh,5.61
172,HondaCityVXMT,2015,2021,606399,6,4.3,90509,1235000,First Owner,Petrol,Manual,30-12-2021,Rs.12.35 Lakh,12.35
173,DatsunGoREMIX,2018,2021,330699,3,4.4,34119,500000,First Owner,Petrol,Manual,Zero_Dep,Rs.5 Lakh,5
174,MarutiSwift,2019,2021,661399,2,4.9,27055,549000,First Owner,Petrol,Manual,1/11/2021,Rs.5.49 Lakh,5.49
175,MarutiRitz,2012,2021,271499,9,4.4,16061,545000,First Owner,Diesel,Manual,8/12/2021,Rs.5.45 Lakh,5.45
176,SkodaLauraAMBITION2.0TDICR,2012,2021,322499,9,4.2,109457,1641000,Second Owner,Diesel,Manual,Expired,Rs.16.41 Lakh,16.41
177,MarutiWagonR1.0,2010,2021,149181,11,4.2,62834,498000,Third Owner,Petrol + CNG,Manual,19-02-2021,Rs.4.98 Lakh,4.98
178,DatsunGoREMIX,2018,2021,283090,3,4.6,19549,500000,First Owner,Petrol,Manual,Zero_Dep,Rs.5 Lakh,5
179,MarutiAlto800,2019,2021,324399,2,4.9,3495,448000,First Owner,Petrol,Manual,8/4/2021,Rs.4.48 Lakh,4.48
180,HondaBrio1.2SMTI,2012,2021,277599,9,4.6,23210,523000,First Owner,Petrol,Manual,27-12-2020,Rs.5.23 Lakh,5.23
181,HondaCitySVMT,2016,2021,731019,5,4.8,52528,929000,First Owner,Petrol,Manual,8/1/2022,Rs.9.29 Lakh,9.29
182,HyundaiElitei20SPORTZ,2016,2021,522366,5,4.9,13900,722000,First Owner,Petrol,Manual,9/10/2021,Rs.7.22 Lakh,7.22
183,HyundaiVerna1.6SX(O)CRDI,2017,2021,955799,4,4.7,50529,1303000,First Owner,Diesel,Manual,Zero_Dep,13.03 Lakh,13.03
184,VolkswagenPoloCOMFORTLINE1.2L,2010,2021,272299,11,4.5,45711,617000,First Owner,Petrol,Manual,15-01-2022,0,0
185,MarutiBalenoDELTADDIS,2018,2021,600399,3,4.6,24274,746000,First Owner,Diesel,Manual,25-04-2021,Rs.7.46 Lakh,7.46
186,MarutiSwift,2012,2021,461122,9,4.3,60626,549000,First Owner,Petrol,Manual,8/1/2022,Rs.5.49 Lakh,5.49
187,MarutiWagonR1.0LXI,2017,2021,381699,4,4.3,29735,465000,Second Owner,Petrol + CNG,Manual,18-09-2021,Rs.4.65 Lakh,4.65
188,ToyotaEtiosVX,2015,2021,472499,6,4.8,56782,750000,First Owner,Diesel,Manual,28-02-2021,Rs.7.50 Lakh,7.5
